key,state,state_code,district,rating,incumbent_party,is_battleground,is_key_race,dem_candidate,dem_pct,rep_candidate,rep_pct,other_candidates
2026G-CA-G-H-13,California,CA,CA13,Lean Dem,DEM,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-CA-G-H-22,California,CA,CA22,Lean Dem,REP,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-CA-G-H-45,California,CA,CA45,Lean Dem,DEM,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-CA-G-H-48,California,CA,CA48,Lean Dem,REP,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-MI-G-H-8,Michigan,MI,MI08,Lean Dem,DEM,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-NE-G-H-2,Nebraska,NE,NE02,Lean Dem,REP,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-NH-G-H-1,New Hampshire,NH,NH01,Lean Dem,DEM,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-NM-G-H-2,New Mexico,NM,NM02,Lean Dem,DEM,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-NV-G-H-3,Nevada,NV,NV03,Lean Dem,DEM,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-NY-G-H-3,New York,NY,NY03,Lean Dem,DEM,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-NY-G-H-4,New York,NY,NY04,Lean Dem,DEM,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-NY-G-H-19,New York,NY,NY19,Lean Dem,DEM,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-OH-G-H-1,Ohio,OH,OH01,Lean Dem,DEM,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-TX-G-H-28,Texas,TX,TX28,Lean Dem,DEM,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-WA-G-H-3,Washington,WA,WA03,Lean Dem,DEM,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-FL-G-H-22,Florida,FL,FL22,Lean Rep,DEM,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-IA-G-H-2,Iowa,IA,IA02,Lean Rep,REP,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-MI-G-H-4,Michigan,MI,MI04,Lean Rep,REP,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-NC-G-H-1,North Carolina,NC,NC01,Lean Rep,DEM,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-NC-G-H-11,North Carolina,NC,NC11,Lean Rep,REP,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
2026G-PA-G-H-1,Pennsylvania,PA,PA01,Lean Rep,REP,True,True,DEMOCRATIC CANIDATE,,REPUBLICAN CANIDATE,,
