key,state,state_code,state_district,district,geo_id,rating,incumbent_party,is_battleground,is_key_race,other_candidates
2026G-MI-G-H-1,Michigan,MI,MI01,01,2601,Likely Rep,REP,False,False,
2026G-MI-G-H-2,Michigan,MI,MI02,02,2602,Likely Rep,REP,False,False,
2026G-MI-G-H-3,Michigan,MI,MI03,03,2603,Likely Dem,DEM,False,False,
2026G-MI-G-H-4,Michigan,MI,MI04,04,2604,Lean Rep,REP,True,True,
2026G-MI-G-H-5,Michigan,MI,MI05,05,2605,Likely Rep,REP,False,False,
2026G-MI-G-H-6,Michigan,MI,MI06,06,2606,Likely Dem,DEM,False,False,
2026G-MI-G-H-7,Michigan,MI,MI07,07,2607,Toss Up,REP,True,True,
2026G-MI-G-H-8,Michigan,MI,MI08,08,2608,Lean Dem,DEM,True,True,
2026G-MI-G-H-9,Michigan,MI,MI09,09,2609,Likely Rep,REP,False,False,
2026G-MI-G-H-10,Michigan,MI,MI10,10,2610,Toss Up,REP,True,True,
2026G-MI-G-H-11,Michigan,MI,MI11,11,2611,Likely Dem,DEM,False,False,
2026G-MI-G-H-12,Michigan,MI,MI12,12,2612,Likely Dem,DEM,False,False,
2026G-MI-G-H-13,Michigan,MI,MI13,13,2613,Likely Dem,DEM,False,False,
